route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
208,9.495,7607148,1,2833,347138,
208,9.495,7607147,1,2832,347138,
208,9.495,7607146,1,2833,347138,
208,9.495,7607145,1,2832,347138,
208,9.495,7607144,1,2833,347138,
208,9.495,7607143,1,2832,347138,
208,9.495,7607142,1,2833,347138,
208,9.495,7607141,1,2832,347138,
208,9.495,7607140,1,2833,347138,
208,9.495,7607139,1,2832,347138,
208,9.495,7607138,1,2833,347138,
208,9.495,7607137,1,2832,347138,
208,9.495,7607136,1,2833,347138,
208,9.495,7607135,1,2832,347138,
208,9.495,7607134,1,2833,347138,
208,9.495,7607133,1,2832,347138,
208,9.495,7607132,1,2833,347138,
208,9.495,7607131,1,2832,347138,
208,9.495,7607130,1,2833,347138,
208,9.495,7607129,1,2832,347138,
208,9.495,7607128,1,2833,347138,
208,9.495,7607127,1,2832,347138,
208,9.495,7607126,1,2833,347138,
208,9.495,7607125,1,2832,347138,
208,9.495,7606977,0,2832,347137,
208,9.495,7606976,0,2833,347137,
208,9.495,7606975,0,2832,347137,
208,9.495,7606974,0,2833,347137,
208,9.495,7606973,0,2832,347137,
208,9.495,7606972,0,2833,347137,
208,9.495,7606971,0,2832,347137,
208,9.495,7606970,0,2833,347137,
208,9.495,7606969,0,2832,347137,
208,9.495,7606968,0,2833,347137,
208,9.495,7606967,0,2832,347137,
208,9.495,7606966,0,2833,347137,
208,9.495,7606965,0,2832,347137,
208,9.495,7606964,0,2833,347137,
208,9.495,7606963,0,2832,347137,
208,9.495,7606962,0,2833,347137,
208,9.495,7606961,0,2832,347137,
208,9.495,7606960,0,2833,347137,
208,9.495,7606959,0,2832,347137,
208,9.495,7606958,0,2833,347137,
208,9.495,7606957,0,2832,347137,
208,9.495,7606956,0,2833,347137,
208,9.495,7606955,0,2832,347137,
208,9.495,7606954,0,2833,347137,
90,C.495,7603806,1,9047,347014,
200,C.495,7606767,1,9086,347129,
200,C.495,7606766,1,9082,347129,
200,C.495,7606765,1,9080,347129,
